,ID,Date,Category,Amount,Payment Method,Location
0,1,2023-12-05,Entertainment,260.05,Debit Card,New York
1,2,2023-11-10,Transportation,114.5,Mobile Payment,Chicago
2,3,2024-08-31,Food,344.31,Debit Card,Los Angeles
3,4,2023-12-20,Food,38.4,Mobile Payment,Chicago
4,5,2024-09-28,Utilities,289.72,Debit Card,Los Angeles
5,6,2023-11-17,Entertainment,76.12,Credit Card,New York
6,7,2024-02-05,Food,432.44,Mobile Payment,Phoenix
7,8,2023-10-19,Transportation,188.51,Cash,Chicago
8,9,2023-12-08,Clothing,497.6,Cash,New York
9,10,2023-12-29,Health,375.29,Debit Card,New York
10,11,2024-09-21,Entertainment,5.83,Debit Card,Chicago
11,12,2024-05-25,Utilities,292.23,Debit Card,New York
12,13,2024-05-09,Transportation,156.12,Cash,Houston
13,14,2024-09-05,Clothing,404.86,Cash,Phoenix
14,15,2024-07-27,Health,326.94,Cash,Phoenix
15,16,2024-06-17,Miscellaneous,87.86,Debit Card,Chicago
16,17,2023-11-12,Health,279.64,Cash,New York
17,18,2023-11-11,Food,213.03,Cash,New York
18,19,2024-02-04,Utilities,100.2,Debit Card,Phoenix
19,20,2023-09-29,Miscellaneous,163.66,Cash,New York
20,21,2024-04-26,Health,34.46,Mobile Payment,New York
21,22,2024-09-06,Utilities,142.05,Mobile Payment,Los Angeles
22,23,2024-06-09,Food,124.17,Credit Card,Los Angeles
23,24,2023-12-09,Entertainment,362.54,Credit Card,Phoenix
24,25,2024-06-10,Transportation,446.62,Credit Card,Phoenix
25,26,2024-02-26,Transportation,11.66,Mobile Payment,Phoenix
26,27,2024-02-28,Clothing,120.42,Debit Card,Houston
27,28,2024-03-12,Health,170.18,Cash,New York
28,29,2024-02-15,Transportation,448.62,Mobile Payment,Chicago
29,30,2023-12-15,Clothing,45.94,Debit Card,Phoenix
30,31,2024-03-21,Entertainment,407.73,Cash,Chicago
31,32,2023-10-04,Health,188.92,Cash,Los Angeles
32,33,2024-03-23,Utilities,441.95,Debit Card,Houston
33,34,2024-04-07,Entertainment,118.98,Mobile Payment,Los Angeles
34,35,2024-03-17,Clothing,153.19,Mobile Payment,New York
35,36,2023-12-23,Food,40.83,Credit Card,Houston
36,37,2024-02-18,Health,299.82,Debit Card,Phoenix
37,38,2023-11-29,Clothing,176.69,Debit Card,Chicago
38,39,2024-02-23,Transportation,154.82,Mobile Payment,Phoenix
39,40,2024-03-30,Clothing,17.68,Mobile Payment,Los Angeles
40,41,2024-07-30,Transportation,457.41,Debit Card,Los Angeles
41,42,2024-05-06,Transportation,286.42,Credit Card,Houston
42,43,2024-06-14,Transportation,75.18,Mobile Payment,Houston
43,44,2024-03-16,Food,94.38,Debit Card,Chicago
44,45,2024-05-23,Entertainment,215.62,Credit Card,Los Angeles
45,46,2024-03-30,Transportation,21.73,Mobile Payment,Los Angeles
46,47,2024-08-04,Clothing,419.9,Credit Card,Houston
47,48,2024-03-31,Transportation,81.82,Debit Card,Phoenix
48,49,2024-06-24,Food,423.2,Cash,Phoenix
49,50,2024-05-25,Miscellaneous,109.13,Mobile Payment,Phoenix
50,51,2024-08-06,Health,445.37,Mobile Payment,New York
51,52,2023-10-18,Entertainment,237.37,Cash,Houston
52,53,2024-08-31,Clothing,415.2,Cash,Phoenix
53,54,2023-12-29,Clothing,435.65,Debit Card,Los Angeles
54,55,2024-09-22,Miscellaneous,130.32,Cash,Los Angeles
55,56,2024-08-09,Health,269.81,Cash,Chicago
56,57,2024-03-17,Transportation,434.47,Cash,Chicago
57,58,2024-05-14,Entertainment,201.6,Cash,Phoenix
58,59,2024-05-30,Utilities,420.7,Mobile Payment,Los Angeles
59,60,2024-05-20,Transportation,121.64,Credit Card,Chicago
60,61,2024-02-23,Miscellaneous,8.41,Debit Card,Los Angeles
61,62,2024-09-11,Clothing,450.14,Cash,Los Angeles
62,63,2024-05-18,Miscellaneous,294.41,Mobile Payment,Los Angeles
63,64,2024-05-03,Transportation,151.79,Mobile Payment,Chicago
64,65,2024-05-15,Entertainment,243.64,Credit Card,Chicago
65,66,2024-03-05,Food,420.21,Mobile Payment,Phoenix
66,67,2024-04-28,Food,496.02,Mobile Payment,Phoenix
67,68,2023-12-08,Utilities,39.09,Credit Card,Chicago
68,69,2024-03-22,Health,458.22,Credit Card,Houston
69,70,2024-09-26,Utilities,476.32,Credit Card,Houston
70,71,2024-01-26,Utilities,148.1,Mobile Payment,New York
71,72,2024-07-03,Utilities,262.99,Cash,Chicago
72,73,2024-06-04,Clothing,410.65,Mobile Payment,Los Angeles
73,74,2024-08-05,Miscellaneous,187.21,Debit Card,Houston
74,75,2024-05-12,Miscellaneous,297.96,Cash,Houston
75,76,2023-11-28,Food,421.71,Cash,Houston
76,77,2023-10-24,Utilities,274.14,Credit Card,Los Angeles
77,78,2024-07-16,Health,438.23,Cash,Houston
78,79,2024-01-20,Miscellaneous,229.79,Credit Card,Los Angeles
79,80,2024-06-13,Transportation,169.47,Credit Card,Houston
80,81,2024-07-22,Miscellaneous,94.42,Cash,Phoenix
81,82,2023-12-06,Clothing,97.89,Cash,Chicago
82,83,2024-04-21,Miscellaneous,431.73,Credit Card,New York
83,84,2024-05-10,Entertainment,233.71,Debit Card,New York
84,85,2024-06-11,Transportation,59.15,Cash,Houston
85,86,2023-11-17,Transportation,343.53,Credit Card,Los Angeles
86,87,2024-09-20,Entertainment,268.67,Credit Card,New York
87,88,2023-10-22,Clothing,195.24,Cash,Chicago
88,89,2024-08-31,Miscellaneous,378.34,Credit Card,Chicago
89,90,2024-02-18,Utilities,36.84,Credit Card,Chicago
90,91,2024-03-22,Utilities,50.18,Cash,Houston
91,92,2024-03-08,Health,344.61,Mobile Payment,Chicago
92,93,2023-10-01,Transportation,95.01,Credit Card,Chicago
93,94,2024-02-25,Miscellaneous,260.61,Cash,Chicago
94,95,2023-10-09,Entertainment,356.68,Cash,Phoenix
95,96,2024-01-30,Health,339.38,Debit Card,Houston
96,97,2024-07-26,Transportation,338.2,Cash,Los Angeles
97,98,2024-03-18,Health,470.52,Credit Card,New York
98,99,2024-04-22,Health,270.9,Credit Card,Chicago
99,100,2023-11-11,Clothing,358.35,Debit Card,Chicago
100,101,2024-06-19,Food,485.29,Cash,Chicago
101,102,2024-06-09,Health,26.87,Mobile Payment,New York
102,103,2024-03-07,Entertainment,237.82,Cash,Chicago
103,104,2024-01-05,Food,429.43,Cash,New York
104,105,2024-04-23,Food,170.4,Mobile Payment,Chicago
105,106,2024-06-22,Entertainment,414.84,Debit Card,Houston
106,107,2024-02-10,Health,266.21,Credit Card,Chicago
107,108,2024-02-22,Entertainment,323.89,Credit Card,Chicago
108,109,2024-07-04,Transportation,315.62,Cash,Houston
109,110,2024-07-06,Utilities,410.8,Cash,Los Angeles
110,111,2024-05-06,Clothing,161.29,Credit Card,Houston
111,112,2024-03-31,Transportation,155.96,Credit Card,Phoenix
112,113,2024-04-15,Miscellaneous,105.13,Mobile Payment,Houston
113,114,2024-04-19,Transportation,232.17,Cash,Chicago
114,115,2023-11-16,Miscellaneous,156.01,Mobile Payment,Chicago
115,116,2024-04-21,Health,105.63,Cash,Phoenix
116,117,2023-11-22,Miscellaneous,217.2,Credit Card,Houston
117,118,2024-01-28,Food,403.67,Credit Card,New York
118,119,2023-12-01,Transportation,196.39,Debit Card,Los Angeles
119,120,2024-01-11,Transportation,471.0,Cash,Houston
120,121,2024-03-13,Utilities,434.39,Cash,Houston
121,122,2024-02-26,Miscellaneous,434.74,Debit Card,Los Angeles
122,123,2023-12-06,Food,499.54,Debit Card,Chicago
123,124,2024-03-11,Entertainment,183.93,Cash,Houston
124,125,2024-09-10,Entertainment,371.33,Debit Card,Chicago
125,126,2024-04-29,Miscellaneous,352.2,Debit Card,New York
126,127,2024-02-18,Entertainment,259.5,Cash,Houston
127,128,2024-08-19,Transportation,384.83,Cash,Chicago
128,129,2024-03-31,Entertainment,444.67,Debit Card,Los Angeles
129,130,2024-04-06,Health,438.73,Cash,Houston
130,131,2024-05-20,Clothing,43.83,Mobile Payment,Phoenix
131,132,2024-06-22,Food,417.68,Debit Card,Houston
132,133,2024-04-04,Transportation,120.5,Credit Card,Phoenix
133,134,2024-04-22,Health,102.95,Cash,Phoenix
134,135,2024-05-15,Food,49.8,Mobile Payment,Chicago
135,136,2024-04-07,Food,208.64,Credit Card,New York
136,137,2023-11-15,Food,367.5,Mobile Payment,New York
137,138,2024-06-09,Miscellaneous,466.01,Credit Card,New York
138,139,2024-02-14,Utilities,13.05,Debit Card,Houston
139,140,2024-07-14,Utilities,187.92,Debit Card,Los Angeles
140,141,2024-09-15,Miscellaneous,78.67,Cash,Houston
141,142,2024-05-19,Entertainment,233.6,Debit Card,Los Angeles
142,143,2024-08-29,Food,477.45,Debit Card,Chicago
143,144,2024-02-12,Miscellaneous,460.79,Credit Card,Houston
144,145,2024-08-26,Utilities,260.08,Mobile Payment,Phoenix
145,146,2024-02-11,Entertainment,339.86,Mobile Payment,New York
146,147,2024-09-19,Health,180.39,Cash,New York
147,148,2024-04-25,Entertainment,444.25,Mobile Payment,New York
148,149,2024-09-23,Transportation,387.05,Cash,Los Angeles
149,150,2024-02-27,Transportation,423.01,Credit Card,Chicago
150,151,2024-04-23,Miscellaneous,88.95,Credit Card,Houston
151,152,2024-03-19,Utilities,316.84,Cash,Los Angeles
152,153,2024-04-08,Food,361.03,Cash,Houston
153,154,2024-05-11,Clothing,83.98,Credit Card,Phoenix
154,155,2023-12-14,Food,83.88,Mobile Payment,Houston
155,156,2024-02-15,Transportation,190.6,Mobile Payment,Los Angeles
156,157,2024-05-31,Utilities,416.64,Debit Card,Chicago
157,158,2024-06-07,Clothing,118.57,Debit Card,Houston
158,159,2024-06-01,Transportation,488.04,Cash,New York
